                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2325,                 1.8619,                 1.4416,                0.74041,                0.82421,                0.80894,                0.57391,                 1.0724,                0.83959,                 1.2762,              0.0033305,              0.0033305,              0.0033305
                      2,                 1.0644,                 1.0215,                 1.2444,                 0.7126,                0.88848,                0.83151,                0.58335,                 1.0864,                0.83567,                  1.293,              0.0065979,              0.0065979,              0.0065979
                      3,                  1.106,                 1.0525,                 1.2662,                 0.7561,                0.84349,                0.81553,                0.57167,                 1.0811,                0.87153,                  1.297,              0.0097992,              0.0097992,              0.0097992
                      4,                 1.1139,                 1.0591,                 1.2727,                0.76179,                0.84807,                0.84556,                0.60303,                 1.0503,                 0.8117,                 1.2803,               0.009703,               0.009703,               0.009703
                      5,                 1.0803,                0.98606,                 1.2499,                 0.7705,                0.87263,                0.85995,                0.62168,                 1.0073,                0.72423,                 1.2383,               0.009604,               0.009604,               0.009604
                      6,                 1.0384,                  0.932,                   1.22,                0.77004,                0.88893,                0.87335,                0.63583,                0.99989,                 0.7118,                 1.2238,               0.009505,               0.009505,               0.009505
                      7,                 1.0229,                0.91103,                 1.2136,                0.81093,                0.88216,                0.88129,                 0.6462,                0.98152,                0.66361,                 1.2098,               0.009406,               0.009406,               0.009406
                      8,                 1.0115,                0.88515,                  1.203,                0.81751,                0.88027,                0.89523,                0.66469,                0.96206,                0.64986,                 1.1951,               0.009307,               0.009307,               0.009307
                      9,                0.99228,                0.86294,                 1.1948,                0.80704,                 0.9005,                0.89558,                0.66553,                0.96114,                0.65163,                    1.2,               0.009208,               0.009208,               0.009208
                     10,                0.97814,                0.84134,                 1.1847,                0.80738,                0.90921,                0.89924,                0.67149,                0.94496,                0.63151,                 1.1881,               0.009109,               0.009109,               0.009109
                     11,                0.96948,                0.82467,                 1.1785,                0.81948,                0.89341,                0.90385,                0.67713,                0.93889,                0.61911,                 1.1755,                0.00901,                0.00901,                0.00901
                     12,                0.96242,                0.82303,                 1.1787,                0.84198,                0.88859,                0.90821,                0.68723,                0.92546,                0.59678,                  1.166,               0.008911,               0.008911,               0.008911
                     13,                0.95587,                 0.8069,                 1.1731,                  0.827,                0.88296,                0.90654,                0.68881,                 0.9231,                0.59737,                  1.159,               0.008812,               0.008812,               0.008812
                     14,                0.94264,                0.79214,                 1.1615,                0.84565,                0.89264,                0.91002,                0.69347,                0.92517,                0.57987,                 1.1631,               0.008713,               0.008713,               0.008713
                     15,                 0.9438,                0.78463,                 1.1636,                0.84495,                 0.8914,                0.91918,                 0.7001,                0.90935,                0.57624,                 1.1529,               0.008614,               0.008614,               0.008614
                     16,                0.92853,                0.77449,                 1.1536,                0.83926,                0.90312,                0.91793,                0.70403,                0.90249,                0.58074,                 1.1455,               0.008515,               0.008515,               0.008515
                     17,                0.92541,                0.76074,                 1.1537,                0.85946,                0.88755,                0.91683,                0.70453,                 0.8939,                0.56329,                 1.1405,               0.008416,               0.008416,               0.008416
                     18,                0.92516,                0.76162,                 1.1563,                0.83848,                0.92173,                 0.9231,                0.70802,                 0.8979,                0.55497,                 1.1465,               0.008317,               0.008317,               0.008317
                     19,                0.91703,                0.74734,                 1.1473,                0.87073,                0.89772,                0.92609,                0.71355,                0.89481,                0.55003,                 1.1373,               0.008218,               0.008218,               0.008218
                     20,                0.91249,                0.74011,                  1.145,                0.85273,                0.90025,                0.92698,                 0.7183,                0.88083,                0.54471,                 1.1286,               0.008119,               0.008119,               0.008119
                     21,                0.90877,                0.73111,                 1.1443,                0.87815,                0.89192,                 0.9306,                0.71993,                0.87744,                0.53019,                 1.1282,                0.00802,                0.00802,                0.00802
                     22,                0.89986,                0.72546,                   1.14,                0.89521,                0.87216,                0.92735,                0.71679,                0.87115,                0.53065,                 1.1265,               0.007921,               0.007921,               0.007921
                     23,                 0.8999,                0.72424,                 1.1374,                0.87849,                0.89568,                0.93086,                0.72161,                0.87837,                0.52011,                 1.1279,               0.007822,               0.007822,               0.007822
                     24,                0.89483,                0.71894,                 1.1368,                0.86874,                0.89175,                0.92856,                0.72238,                0.87253,                0.51868,                 1.1236,               0.007723,               0.007723,               0.007723
                     25,                0.89126,                0.70978,                 1.1361,                0.85798,                0.92184,                0.93421,                0.72587,                0.87028,                0.51375,                 1.1231,               0.007624,               0.007624,               0.007624
                     26,                0.88314,                0.69922,                 1.1285,                0.88232,                0.89979,                0.93536,                0.72749,                0.86549,                 0.5046,                 1.1196,               0.007525,               0.007525,               0.007525
                     27,                0.88846,                0.69692,                 1.1311,                0.85851,                 0.9201,                0.93603,                0.73028,                0.86341,                0.50414,                 1.1166,               0.007426,               0.007426,               0.007426
                     28,                0.88417,                0.69709,                 1.1286,                0.89197,                0.88922,                0.93784,                0.73189,                0.86297,                0.50262,                 1.1128,               0.007327,               0.007327,               0.007327
                     29,                0.87961,                0.68195,                 1.1239,                0.88704,                0.89536,                 0.9377,                0.73182,                0.85833,                 0.4974,                 1.1102,               0.007228,               0.007228,               0.007228
                     30,                0.88053,                0.68428,                 1.1252,                0.88206,                0.90924,                 0.9384,                0.73364,                0.85563,                0.49444,                 1.1097,               0.007129,               0.007129,               0.007129
                     31,                0.87039,                0.68465,                 1.1246,                0.88625,                0.89992,                0.93992,                0.73728,                0.85346,                0.49216,                 1.1068,                0.00703,                0.00703,                0.00703
                     32,                0.87199,                0.68116,                 1.1243,                0.85627,                0.93527,                0.94205,                0.73806,                0.85477,                0.48175,                 1.1095,               0.006931,               0.006931,               0.006931
                     33,                0.86921,                0.67831,                 1.1205,                0.87694,                0.90973,                0.94268,                0.73828,                0.85051,                0.48903,                 1.1062,               0.006832,               0.006832,               0.006832
                     34,                0.86639,                 0.6719,                 1.1158,                0.88832,                0.90281,                 0.9432,                0.73987,                0.84826,                0.48022,                 1.1055,               0.006733,               0.006733,               0.006733
                     35,                0.86614,                0.66812,                  1.117,                0.89894,                0.89778,                0.94535,                0.74255,                 0.8471,                0.47655,                 1.1035,               0.006634,               0.006634,               0.006634
                     36,                0.86387,                0.65966,                 1.1165,                0.89824,                0.89887,                0.94592,                0.74294,                0.84591,                0.47514,                 1.1048,               0.006535,               0.006535,               0.006535
                     37,                0.86224,                0.65985,                  1.116,                0.90948,                0.89586,                0.94653,                0.74444,                0.84659,                0.47338,                 1.1042,               0.006436,               0.006436,               0.006436
                     38,                 0.8587,                0.65465,                 1.1146,                0.90633,                0.89553,                0.94557,                0.74412,                0.84246,                0.46999,                 1.0998,               0.006337,               0.006337,               0.006337
                     39,                0.85312,                0.65371,                 1.1131,                0.86606,                0.92974,                0.94563,                0.74465,                0.83963,                0.47017,                 1.0963,               0.006238,               0.006238,               0.006238
                     40,                0.85006,                0.65161,                 1.1083,                0.85883,                0.94056,                0.94646,                0.74603,                0.83884,                0.46909,                 1.0972,               0.006139,               0.006139,               0.006139
                     41,                0.85172,                0.64747,                 1.1083,                0.86303,                0.93725,                0.94719,                0.74864,                0.83752,                0.46386,                 1.0974,                0.00604,                0.00604,                0.00604
                     42,                0.84934,                0.64335,                 1.1082,                0.86074,                0.93683,                0.94727,                0.74911,                0.83478,                0.46404,                 1.0952,               0.005941,               0.005941,               0.005941
                     43,                0.84212,                0.63761,                 1.1047,                 0.8624,                0.93506,                0.94742,                0.74755,                 0.8341,                0.46082,                 1.0955,               0.005842,               0.005842,               0.005842
                     44,                0.84194,                0.63561,                 1.1069,                0.89803,                0.90265,                0.94754,                0.74809,                0.83395,                0.45969,                 1.0964,               0.005743,               0.005743,               0.005743
                     45,                0.84098,                0.62704,                 1.1071,                0.89311,                0.90651,                0.94676,                0.74825,                0.83419,                0.45769,                 1.0965,               0.005644,               0.005644,               0.005644
                     46,                0.83816,                0.63327,                 1.1027,                0.89192,                0.90923,                0.94743,                0.75032,                0.83433,                0.45585,                 1.0965,               0.005545,               0.005545,               0.005545
                     47,                0.83543,                0.62637,                  1.104,                0.89146,                0.90876,                0.94738,                  0.751,                0.83408,                0.45579,                 1.0962,               0.005446,               0.005446,               0.005446
                     48,                0.83254,                0.62208,                 1.1005,                0.89074,                0.90827,                0.94723,                0.74992,                0.83252,                0.45482,                 1.0939,               0.005347,               0.005347,               0.005347
                     49,                0.83012,                0.62122,                 1.1008,                0.88722,                0.91103,                0.94717,                0.75062,                0.83178,                0.45414,                 1.0927,               0.005248,               0.005248,               0.005248
                     50,                0.83323,                0.61939,                 1.1005,                0.88643,                0.91788,                0.94767,                0.75032,                 0.8315,                0.45235,                 1.0925,               0.005149,               0.005149,               0.005149
                     51,                0.82825,                 0.6116,                 1.0975,                 0.8911,                0.91205,                0.94775,                0.75135,                0.83095,                0.45192,                  1.093,                0.00505,                0.00505,                0.00505
                     52,                0.82725,                0.61328,                 1.0988,                0.89282,                 0.9111,                0.94797,                0.75127,                0.83092,                 0.4509,                  1.093,               0.004951,               0.004951,               0.004951
